#Gen,Best Ind,Fitness,#Evals
0,"[-6.07388967 -6.08162168 -5.48760668 -5.12606239 -6.03572583 -6.07541801
 -5.64035631 -5.23665249 -5.20679956 -5.51321131]",320.3517000563512,0
1,"[-5.46598372 -4.66577168 -4.60241106 -5.66189637 -5.3046826  -5.47664092
 -4.83879732 -4.27546471 -4.53632612 -4.81972802]",248.5205055607402,64
2,"[-0.41151418  0.38404893  0.46884971 -0.6012229  -0.24556591 -0.42462427
  0.19652424  0.76511581  0.51546146  0.23036817]",2.0815289059918722,128
3,"[-0.91812866 -0.11786571 -0.01590402 -1.1086224  -0.75035773 -0.9402313
 -0.31185667  0.25200456  0.01783911 -0.29024344]",3.7785411343860957,192
4,"[-0.40438668  0.38107432  0.47822342 -0.61338425 -0.25329414 -0.43313045
  0.168543    0.76030754  0.52501635  0.19907698]",2.087192110112426,256
5,"[-0.38881928  0.37359694  0.48016504 -0.62525295 -0.26498197 -0.43786613
  0.15293598  0.75639629  0.51843283  0.18711997]",2.0735082575626396,320
6,"[-0.42888832  0.33069994  0.41992557 -0.67095582 -0.31383893 -0.46085353
  0.10775491  0.72462213  0.47360175  0.14633637]",2.013108994320444,384
7,"[-0.45428333  0.30467228  0.36218541 -0.70492521 -0.3527992  -0.46765073
  0.06895549  0.68083113  0.44729293  0.12486563]",1.954409122684397,448
8,"[-0.43445586  0.30411644  0.35722367 -0.69683122 -0.33737371 -0.45099705
  0.07160237  0.68740733  0.44932197  0.12076687]",1.9057711680186997,512
9,"[-0.41859652  0.30636077  0.34344812 -0.68646156 -0.34032457 -0.43769198
  0.06115718  0.67448018  0.42413464  0.12699154]",1.8203418891379854,576
10,"[-0.42495921  0.274437    0.32432937 -0.67729555 -0.3464744  -0.44593407
  0.03618531  0.65351726  0.41883562  0.10796593]",1.7542006108962467,640
11,"[-0.39879209  0.27616527  0.33882169 -0.62680654 -0.33711885 -0.42621561
  0.0380368   0.65297188  0.42119497  0.13677026]",1.6622282118101173,704
12,"[-0.40309949  0.25501703  0.32207516 -0.62003716 -0.33737476 -0.41486358
  0.04721688  0.63243543  0.41434411  0.12705772]",1.5916636091731384,768
13,"[-0.39335086  0.23748971  0.3156144  -0.62224183 -0.33232154 -0.39112431
  0.02824882  0.61415036  0.40795659  0.11993664]",1.5201314640272718,832
14,"[-0.39796334  0.21592626  0.30764095 -0.62829256 -0.34406753 -0.40184347
  0.02613546  0.57897256  0.38064114  0.11040249]",1.4672227739954031,896
15,"[-0.39184998  0.23563008  0.28628861 -0.62150588 -0.31875348 -0.37611491
  0.01394532  0.56661155  0.37864203  0.11401247]",1.3979766229222006,960
