#Gen,Best Ind,Fitness,#Evals
0,"[ 0.0861524  -1.9982239  -2.41555018  3.05507235  2.67899252  5.0945475
 -3.1860082   1.79962129  0.65654109 -1.09651756]",102997.71458970827,0
1,"[ 0.0861524  -1.9982239  -2.41555018  3.05507235  2.67899252  5.0945475
 -3.1860082   1.79962129  0.65654109 -1.09651756]",102997.71458970827,128
2,"[ 0.0861524  -1.9982239  -2.41555018  3.05507235  2.67899252  5.0945475
 -3.1860082   1.79962129  0.65654109 -1.09651756]",102997.71458970827,257
3,"[ 0.0861524  -1.9982239  -2.41555018  3.05507235  2.67899252  5.0945475
 -3.1860082   1.79962129  0.65654109 -1.09651756]",102997.71458970827,386
4,"[ 0.0861524  -1.9982239  -2.41555018  3.05507235  2.67899252  5.0945475
 -3.1860082   1.79962129  0.65654109 -1.09651756]",102997.71458970827,515
5,"[ 0.0861524  -1.9982239  -2.41555018  3.05507235  2.67899252  5.0945475
 -3.1860082   1.79962129  0.65654109 -1.09651756]",102997.71458970827,644
6,"[ 1.39068585  0.61405372 -0.01433113  1.75867496  0.8667815   1.17865342
 -2.89359432 -3.13930485 -5.          9.87303523]",61120.47575077881,773
7,"[-0.75862083 -2.68154567  2.93922702  2.70966421  2.15391489  2.09902154
 -2.71152207  1.1327328   2.81244144 10.        ]",19369.18462161598,902
8,"[-0.75862083 -2.68154567  2.93922702  2.70966421  2.15391489  2.09902154
 -2.71152207  1.1327328   2.81244144 10.        ]",19369.18462161598,1031
9,"[-0.75862083 -2.68154567  2.93922702  2.70966421  2.15391489  2.09902154
 -2.71152207  1.1327328   2.81244144 10.        ]",19369.18462161598,1160
10,"[-0.75862083 -2.68154567  2.93922702  2.70966421  2.15391489  2.09902154
 -2.71152207  1.1327328   2.81244144 10.        ]",19369.18462161598,1289
11,"[-0.75862083 -2.68154567  2.93922702  2.70966421  2.15391489  2.09902154
 -2.71152207  1.1327328   2.81244144 10.        ]",19369.18462161598,1418
12,"[-0.75862083 -2.68154567  2.93922702  2.70966421  2.15391489  2.09902154
 -2.71152207  1.1327328   2.81244144 10.        ]",19369.18462161598,1547
13,"[-0.75862083 -2.68154567  2.93922702  2.70966421  2.15391489  2.09902154
 -2.71152207  1.1327328   2.81244144 10.        ]",19369.18462161598,1676
14,"[-0.75862083 -2.68154567  2.93922702  2.70966421  2.15391489  2.09902154
 -2.71152207  1.1327328   2.81244144 10.        ]",19369.18462161598,1805
15,"[-0.75862083 -2.68154567  2.93922702  2.70966421  2.15391489  2.09902154
 -2.71152207  1.1327328   2.81244144 10.        ]",19369.18462161598,1934
16,"[-0.75862083 -2.68154567  2.93922702  2.70966421  2.15391489  2.09902154
 -2.71152207  1.1327328   2.81244144 10.        ]",19369.18462161598,2063
17,"[ 1.11694737 -1.40401897  1.55100135  0.93580112  0.64404696 -2.59362929
  1.81840385  0.2336571   0.08466921 10.        ]",15207.851721373614,2192
18,"[-2.226204    0.44248199  0.435808    0.13141841 -2.01752526  1.48632628
 -0.38215336  0.93049182 -1.27732797  5.90904449]",6175.31376681444,2321
19,"[-2.226204    0.44248199  0.435808    0.13141841 -2.01752526  1.48632628
 -0.38215336  0.93049182 -1.27732797  5.90904449]",6175.31376681444,2450
20,"[-2.226204    0.44248199  0.435808    0.13141841 -2.01752526  1.48632628
 -0.38215336  0.93049182 -1.27732797  5.90904449]",6175.31376681444,2579
21,"[-2.226204    0.44248199  0.435808    0.13141841 -2.01752526  1.48632628
 -0.38215336  0.93049182 -1.27732797  5.90904449]",6175.31376681444,2708
22,"[-2.226204    0.44248199  0.435808    0.13141841 -2.01752526  1.48632628
 -0.38215336  0.93049182 -1.27732797  5.90904449]",6175.31376681444,2837
23,"[-2.226204    0.44248199  0.435808    0.13141841 -2.01752526  1.48632628
 -0.38215336  0.93049182 -1.27732797  5.90904449]",6175.31376681444,2966
24,"[-2.226204    0.44248199  0.435808    0.13141841 -2.01752526  1.48632628
 -0.38215336  0.93049182 -1.27732797  5.90904449]",6175.31376681444,3095
25,"[-2.226204    0.44248199  0.435808    0.13141841 -2.01752526  1.48632628
 -0.38215336  0.93049182 -1.27732797  5.90904449]",6175.31376681444,3224
26,"[-2.226204    0.44248199  0.435808    0.13141841 -2.01752526  1.48632628
 -0.38215336  0.93049182 -1.27732797  5.90904449]",6175.31376681444,3353
27,"[-0.99369871  0.11230128 -0.44260551 -1.78284154  1.2812053   1.83540939
 -1.44137715  1.10954809  1.07730317 -1.55798918]",4022.781339506899,3482
28,"[-0.99369871  0.11230128 -0.44260551 -1.78284154  1.2812053   1.83540939
 -1.44137715  1.10954809  1.07730317 -1.55798918]",4022.781339506899,3611
29,"[-0.99369871  0.11230128 -0.44260551 -1.78284154  1.2812053   1.83540939
 -1.44137715  1.10954809  1.07730317 -1.55798918]",4022.781339506899,3740
30,"[-0.99369871  0.11230128 -0.44260551 -1.78284154  1.2812053   1.83540939
 -1.44137715  1.10954809  1.07730317 -1.55798918]",4022.781339506899,3869
