#Gen,Best Ind,Fitness,#Evals
0,"[-5.12548644 -5.13620033 -5.34793798 -5.70337248 -5.73740059 -5.2561775
 -5.99167286 -5.33500657 -6.1106493  -5.16380326]",302.6925686125642,0
1,"[-4.39485152 -4.37408467 -4.37405461 -5.52665436 -4.22129459 -4.37476193
 -4.66264771 -3.3097677  -4.2325634  -4.79010888]",198.6360505035815,128
2,"[ 0.1147212   0.10757819  0.12758449 -1.01951783  0.29141775  0.12959599
 -0.17258355  1.18852564  0.26773886 -0.28922139]",2.7798592269396285,256
3,"[-0.09808651 -0.07480364 -0.06682942 -1.22124675  0.08159225 -0.07405485
 -0.37241138  0.98604137  0.09248936 -0.48135241]",2.8744899917971662,384
4,"[ 0.13842491  0.17542327  0.18461212 -0.97874511  0.32546425  0.15728037
 -0.13959701  1.21528247  0.33066026 -0.25128477]",2.8415015564151958,512
5,"[ 0.04452495  0.08055177  0.09856076 -1.06202367  0.21707039  0.06504424
 -0.20944909  1.10473484  0.24349989 -0.33302182]",2.631933586759696,640
6,"[ 0.00168756  0.04861753  0.05217592 -1.06359677  0.17581584  0.03684436
 -0.25069063  1.04652367  0.20936768 -0.36204517]",2.5015647563811445,768
7,"[ 0.02378842  0.06904162  0.0881303  -0.99770236  0.20919509  0.06766703
 -0.21181495  1.04499787  0.2316496  -0.31604039]",2.3472801740166265,896
8,"[-0.0061865   0.03707265  0.04667084 -1.00815805  0.16028462  0.04541069
 -0.24508968  0.98767942  0.18038754 -0.34082004]",2.232004334668966,1024
9,"[ 0.00744715  0.04120571  0.0493805  -0.96724437  0.16458422  0.04310635
 -0.22465574  0.96753587  0.1769501  -0.31551033]",2.086153557086697,1152
10,"[ 0.00860653  0.04039214  0.04594732 -0.93358147  0.16376031  0.04948899
 -0.21247641  0.94410053  0.17638671 -0.29398772]",1.958670813968955,1280
11,"[ 0.00790242  0.05954749  0.06419471 -0.88794299  0.19888923  0.07255584
 -0.19311723  0.91740252  0.18593634 -0.25749598]",1.8207914762651758,1408
12,"[-0.0179897   0.03269701  0.03974117 -0.8959547   0.1603162   0.0526605
 -0.18687048  0.86122732  0.15391482 -0.28084629]",1.713378802037124,1536
13,"[-7.52932163e-04  6.97822649e-02  5.91022095e-02 -8.48709455e-01
  1.65092997e-01  6.28530761e-02 -1.52849427e-01  8.53892154e-01
  1.64869171e-01 -2.56886756e-01]",1.6055445564364066,1664
14,"[-0.03109509  0.05503901  0.03962692 -0.82084859  0.16878649  0.05349176
 -0.15070218  0.81819311  0.13931888 -0.25933428]",1.489524272247045,1792
15,"[ 0.01137714  0.07813232  0.05826013 -0.77063708  0.17736488  0.08170477
 -0.12784678  0.81410424  0.17195762 -0.2235999 ]",1.4003206721488455,1920
16,"[ 0.00495274  0.10070926  0.07624414 -0.74588806  0.18341101  0.07668566
 -0.12531672  0.80093635  0.16958556 -0.21153871]",1.3425605470644406,2048
17,"[-0.00458225  0.08307026  0.06487427 -0.72192261  0.16788966  0.07293769
 -0.12813306  0.75655595  0.15108861 -0.22324529]",1.227270652188902,2176
18,"[-0.02751871  0.06256662  0.04052969 -0.72633785  0.14517868  0.03480685
 -0.15737401  0.71031242  0.13108701 -0.23525334]",1.1580078086369336,2304
19,"[-0.02394993  0.04183981  0.02176287 -0.69464465  0.14995323  0.03618943
 -0.15193027  0.69782098  0.13043158 -0.21463931]",1.0822439976521676,2432
20,"[-0.03877876  0.02106632  0.01269687 -0.65615349  0.13713059  0.01056859
 -0.1490541   0.67022815  0.12325887 -0.20598431]",0.9806078809926232,2560
21,"[-0.04592557  0.00103954 -0.0035636  -0.63099668  0.11872962  0.01381074
 -0.15810696  0.64351306  0.12009627 -0.20522199]",0.9102132535292695,2688
