#Gen,Best Ind,Fitness,#Evals
0,"[-10.01013737 -10.18677226 -10.86823945 -10.92096796 -10.38224552
 -10.62777587 -10.92572803 -10.73380573 -10.56592959 -10.25488225]",7187871490.406816,0
1,"[ -8.65412971 -10.47939008 -10.47586135 -10.6513598   -8.98303927
 -10.17506537  -9.46261189  -8.95740712  -8.46811422  -8.3129638 ]",4124873172.388366,128
2,"[ 0.47196931 -1.34843414 -1.36012934 -1.52149175  0.13485243 -1.04610836
 -0.32232037  0.15616698  0.65553028  0.83325332]",46.56304965407256,256
3,"[ 0.22256011 -1.60487884 -1.62545256 -1.75560406 -0.12480426 -1.31697573
 -0.59087573 -0.10156977  0.38269471  0.57626036]",8514.451992546321,384
4,"[ 0.6089496  -1.22327296 -1.24836179 -1.3871156   0.25130272 -0.95080956
 -0.22491314  0.27378251  0.7488013   0.94627009]",8.428871819715857,512
5,"[ 0.61607259 -1.2395361  -1.26253527 -1.39952126  0.25099169 -0.96745158
 -0.23533929  0.26115928  0.73978468  0.94999466]",8.2273449223576,640
6,"[ 0.61915688 -1.25637683 -1.28485453 -1.41356879  0.22604068 -0.98641584
 -0.24539518  0.24788215  0.71610084  0.93859907]",8.15264881617981,768
7,"[ 0.61341432 -1.24395126 -1.275823   -1.40446421  0.22301841 -0.9819615
 -0.23878304  0.25491924  0.70815286  0.92076135]",8.014682913067354,896
8,"[ 0.6037128  -1.22271215 -1.25534828 -1.38390863  0.2407654  -0.97261532
 -0.21667808  0.26142157  0.69466215  0.93015356]",7.849674267134851,1024
9,"[ 0.60397119 -1.19957054 -1.24576069 -1.38730476  0.235308   -0.96609123
 -0.23559136  0.26552375  0.68666053  0.92934115]",7.745621150170985,1152
10,"[ 0.58867275 -1.18847598 -1.26659768 -1.38227843  0.22517659 -0.96033982
 -0.22792375  0.26278546  0.68234133  0.92208518]",7.687107712752281,1280
11,"[ 0.58354273 -1.18257921 -1.26694827 -1.38535151  0.22735695 -0.95803428
 -0.23263394  0.25766912  0.66630635  0.91345146]",7.639135353325734,1408
12,"[ 0.5910643  -1.16213529 -1.25503974 -1.37136627  0.22479226 -0.94620772
 -0.21844029  0.25738726  0.65124137  0.91526719]",7.477331462623698,1536
13,"[ 0.59615137 -1.1426234  -1.25261126 -1.35887082  0.23638915 -0.92753366
 -0.20611615  0.26551582  0.65261922  0.91281153]",7.410304941103565,1664
14,"[ 0.57951954 -1.12861081 -1.2502819  -1.35215309  0.22371511 -0.91926673
 -0.2141584   0.2462908   0.64165107  0.90030449]",7.225070893175461,1792
15,"[ 0.59216946 -1.11265036 -1.22345304 -1.33339942  0.21204796 -0.89541175
 -0.22335557  0.26051292  0.63893658  0.90486189]",7.090407408672523,1920
16,"[ 0.59479377 -1.12370581 -1.19618838 -1.32121351  0.19868997 -0.89620292
 -0.22483965  0.25136181  0.61290144  0.88334716]",6.90911870290073,2048
17,"[ 0.57401191 -1.10421355 -1.18256948 -1.30904565  0.21376542 -0.89173065
 -0.22594517  0.26964263  0.59602522  0.87904232]",6.753677135062588,2176
18,"[ 0.56577313 -1.10913897 -1.17907654 -1.3134543   0.21981337 -0.89586322
 -0.23387117  0.26669164  0.61942032  0.87672195]",6.798243273863775,2304
19,"[ 0.56815044 -1.10708868 -1.18155016 -1.314961    0.19598983 -0.88131797
 -0.2252077   0.25898056  0.61991526  0.87344902]",6.7543959067580515,2432
20,"[ 0.58460767 -1.08300235 -1.15856332 -1.29323412  0.21358657 -0.86729142
 -0.21566467  0.26862657  0.60438584  0.88023324]",6.656759395530737,2560
21,"[ 0.57581523 -1.07270965 -1.14851145 -1.28643573  0.21277661 -0.86310867
 -0.22577096  0.25613385  0.6048741   0.87653137]",6.539329726845104,2688
22,"[ 0.56252477 -1.06300971 -1.14034043 -1.28375762  0.1902339  -0.85522254
 -0.22370371  0.25170403  0.58922556  0.86605365]",6.376183320856503,2816
23,"[ 0.55584095 -1.04118602 -1.12567022 -1.26564744  0.17290275 -0.85320804
 -0.20796214  0.24546949  0.58182825  0.85687146]",6.198275493899104,2944
24,"[ 0.55732851 -1.01789785 -1.10992321 -1.26326538  0.16431527 -0.8472173
 -0.22283812  0.25739281  0.57942305  0.84611799]",6.087513991782653,3072
25,"[ 0.56388836 -1.01363209 -1.10341082 -1.24380702  0.17040252 -0.8301689
 -0.23621003  0.27679136  0.5717515   0.82785244]",5.975744163382171,3200
