#Gen,Best Ind,Fitness,#Evals
0,"[1.06518669 1.85372888 1.93621622 0.9736552  1.02681219 2.02670567
 2.47889305 2.05550459 1.94680756 1.66612927]",-3.2405764127748093,0
1,"[1.39418863 3.14159265 0.34323904 1.23616289 1.94062119 1.56004251
 1.87420367 1.73435071 1.30397805 2.13422165]",-3.7765872378500784,512
2,"[1.39418863 3.14159265 0.34323904 1.23616289 1.94062119 1.56004251
 1.87420367 1.73435071 1.30397805 2.13422165]",-3.7765872378500784,1025
3,"[2.37311024 1.60132979 0.90548389 0.         2.84811678 0.68261946
 1.89091713 0.70903372 1.64794183 0.7566898 ]",-3.8073887389896166,1538
4,"[0.         1.59255091 1.39118709 0.78358456 1.75925492 1.66305512
 0.         2.11263215 0.7339757  1.22785399]",-3.835013915418518,2051
5,"[2.37363396 1.45117788 1.31357731 0.57499023 0.99904415 2.05184795
 3.14159265 0.16888339 3.14159265 0.70190816]",-4.023165948460041,2564
6,"[2.02553281 0.31641233 1.99695781 1.07469048 0.29220515 2.3667916
 1.8758797  0.75491254 2.43391535 1.87190067]",-4.059694810421454,3077
7,"[2.02553281 0.31641233 1.99695781 1.07469048 0.29220515 2.3667916
 1.8758797  0.75491254 2.43391535 1.87190067]",-4.059694810421454,3590
8,"[2.02553281 0.31641233 1.99695781 1.07469048 0.29220515 2.3667916
 1.8758797  0.75491254 2.43391535 1.87190067]",-4.059694810421454,4103
9,"[2.02553281 0.31641233 1.99695781 1.07469048 0.29220515 2.3667916
 1.8758797  0.75491254 2.43391535 1.87190067]",-4.059694810421454,4616
10,"[2.12712632 1.59431853 1.38870334 1.14257229 0.         1.96895856
 3.14159265 0.829767   0.03339815 0.73975932]",-4.141545232181544,5129
11,"[2.23360454 1.69566223 3.14159265 1.09397645 1.02270727 1.66706864
 0.88141817 0.         2.44963578 1.78888983]",-4.148177355707006,5642
12,"[2.19047578 0.07564715 1.36604677 1.07087757 1.76878519 0.83228627
 1.49436968 0.53670166 1.25187978 1.52027674]",-4.219904755622699,6155
13,"[2.19047578 0.07564715 1.36604677 1.07087757 1.76878519 0.83228627
 1.49436968 0.53670166 1.25187978 1.52027674]",-4.219904755622699,6668
14,"[2.19047578 0.07564715 1.36604677 1.07087757 1.76878519 0.83228627
 1.49436968 0.53670166 1.25187978 1.52027674]",-4.219904755622699,7181
15,"[1.87357005 3.14159265 2.20378884 1.96129312 1.03595055 1.56108397
 2.50314193 0.         0.62766739 1.54521587]",-4.245033668529252,7694
16,"[3.14159265 2.2505688  1.30818736 2.47601327 2.82591572 2.00617889
 0.26247981 1.35614507 1.93049307 2.10831421]",-4.374316149875369,8207
17,"[3.14159265 2.2505688  1.30818736 2.47601327 2.82591572 2.00617889
 0.26247981 1.35614507 1.93049307 2.10831421]",-4.374316149875369,8720
18,"[0.         1.65684991 0.         3.14159265 0.53743105 0.90435534
 1.86443555 2.36968087 1.65005977 0.71513619]",-4.501726489944511,9233
19,"[0.         1.65684991 0.         3.14159265 0.53743105 0.90435534
 1.86443555 2.36968087 1.65005977 0.71513619]",-4.501726489944511,9746
20,"[1.33919353 0.13145223 1.31782435 1.13704755 1.91982966 0.91527012
 1.90994338 0.05363587 0.73946058 1.56657681]",-4.636610546285082,10259
21,"[1.33919353 0.13145223 1.31782435 1.13704755 1.91982966 0.91527012
 1.90994338 0.05363587 0.73946058 1.56657681]",-4.636610546285082,10772
22,"[1.33919353 0.13145223 1.31782435 1.13704755 1.91982966 0.91527012
 1.90994338 0.05363587 0.73946058 1.56657681]",-4.636610546285082,11285
23,"[1.33919353 0.13145223 1.31782435 1.13704755 1.91982966 0.91527012
 1.90994338 0.05363587 0.73946058 1.56657681]",-4.636610546285082,11798
24,"[1.33919353 0.13145223 1.31782435 1.13704755 1.91982966 0.91527012
 1.90994338 0.05363587 0.73946058 1.56657681]",-4.636610546285082,12311
25,"[1.33919353 0.13145223 1.31782435 1.13704755 1.91982966 0.91527012
 1.90994338 0.05363587 0.73946058 1.56657681]",-4.636610546285082,12824
26,"[1.33919353 0.13145223 1.31782435 1.13704755 1.91982966 0.91527012
 1.90994338 0.05363587 0.73946058 1.56657681]",-4.636610546285082,13337
27,"[1.33919353 0.13145223 1.31782435 1.13704755 1.91982966 0.91527012
 1.90994338 0.05363587 0.73946058 1.56657681]",-4.636610546285082,13850
28,"[1.33919353 0.13145223 1.31782435 1.13704755 1.91982966 0.91527012
 1.90994338 0.05363587 0.73946058 1.56657681]",-4.636610546285082,14363
29,"[1.33919353 0.13145223 1.31782435 1.13704755 1.91982966 0.91527012
 1.90994338 0.05363587 0.73946058 1.56657681]",-4.636610546285082,14876
30,"[2.30312742 1.58024832 1.37438188 1.05301346 1.75900756 3.14159265
 1.43756355 2.01708362 1.5870012  2.32364439]",-5.086192545073702,15389
31,"[2.30312742 1.58024832 1.37438188 1.05301346 1.75900756 3.14159265
 1.43756355 2.01708362 1.5870012  2.32364439]",-5.086192545073702,15902
32,"[2.30312742 1.58024832 1.37438188 1.05301346 1.75900756 3.14159265
 1.43756355 2.01708362 1.5870012  2.32364439]",-5.086192545073702,16415
33,"[2.30312742 1.58024832 1.37438188 1.05301346 1.75900756 3.14159265
 1.43756355 2.01708362 1.5870012  2.32364439]",-5.086192545073702,16928
34,"[2.30312742 1.58024832 1.37438188 1.05301346 1.75900756 3.14159265
 1.43756355 2.01708362 1.5870012  2.32364439]",-5.086192545073702,17441
35,"[2.30312742 1.58024832 1.37438188 1.05301346 1.75900756 3.14159265
 1.43756355 2.01708362 1.5870012  2.32364439]",-5.086192545073702,17954
36,"[2.30312742 1.58024832 1.37438188 1.05301346 1.75900756 3.14159265
 1.43756355 2.01708362 1.5870012  2.32364439]",-5.086192545073702,18467
37,"[2.30312742 1.58024832 1.37438188 1.05301346 1.75900756 3.14159265
 1.43756355 2.01708362 1.5870012  2.32364439]",-5.086192545073702,18980
38,"[2.30312742 1.58024832 1.37438188 1.05301346 1.75900756 3.14159265
 1.43756355 2.01708362 1.5870012  2.32364439]",-5.086192545073702,19493
39,"[2.2219699  1.56861805 0.41563682 1.96273213 0.03324517 2.03398367
 0.81037206 1.73627801 3.14159265 1.86322546]",-5.600148079984188,20006
40,"[2.2219699  1.56861805 0.41563682 1.96273213 0.03324517 2.03398367
 0.81037206 1.73627801 3.14159265 1.86322546]",-5.600148079984188,20519
41,"[2.2219699  1.56861805 0.41563682 1.96273213 0.03324517 2.03398367
 0.81037206 1.73627801 3.14159265 1.86322546]",-5.600148079984188,21032
42,"[2.2219699  1.56861805 0.41563682 1.96273213 0.03324517 2.03398367
 0.81037206 1.73627801 3.14159265 1.86322546]",-5.600148079984188,21545
43,"[2.2219699  1.56861805 0.41563682 1.96273213 0.03324517 2.03398367
 0.81037206 1.73627801 3.14159265 1.86322546]",-5.600148079984188,22058
44,"[2.2219699  1.56861805 0.41563682 1.96273213 0.03324517 2.03398367
 0.81037206 1.73627801 3.14159265 1.86322546]",-5.600148079984188,22571
45,"[2.2219699  1.56861805 0.41563682 1.96273213 0.03324517 2.03398367
 0.81037206 1.73627801 3.14159265 1.86322546]",-5.600148079984188,23084
46,"[2.2219699  1.56861805 0.41563682 1.96273213 0.03324517 2.03398367
 0.81037206 1.73627801 3.14159265 1.86322546]",-5.600148079984188,23597
47,"[2.2219699  1.56861805 0.41563682 1.96273213 0.03324517 2.03398367
 0.81037206 1.73627801 3.14159265 1.86322546]",-5.600148079984188,24110
48,"[2.2219699  1.56861805 0.41563682 1.96273213 0.03324517 2.03398367
 0.81037206 1.73627801 3.14159265 1.86322546]",-5.600148079984188,24623
49,"[2.28120999 1.71323163 1.30818736 2.47601327 1.28463842 2.00617889
 0.89968935 1.35614507 1.93049307 2.10831421]",-5.934357791464871,25136
50,"[2.28120999 1.71323163 1.30818736 2.47601327 1.28463842 2.00617889
 0.89968935 1.35614507 1.93049307 2.10831421]",-5.934357791464871,25649
51,"[2.28120999 1.71323163 1.30818736 2.47601327 1.28463842 2.00617889
 0.89968935 1.35614507 1.93049307 2.10831421]",-5.934357791464871,26162
