#Gen,Best Ind,Fitness,#Evals
0,"[-10.00548644 -10.01620033 -10.22793798 -10.58337248 -10.61740059
 -10.1361775  -10.87167286 -10.21500657 -10.9906493  -10.04380326]",12758177.758506894,0
1,"[-8.24394524 -8.47000022 -8.82857271 -9.3700514  -8.3664679  -8.88763856
 -9.42361918 -8.81380061 -9.27203181 -9.71139385]",6949889.114971896,1024
2,"[ 0.83592005  0.58109089  0.21752982 -0.29970954  0.70142044  0.16141369
 -0.36778439  0.26100792 -0.1863884  -0.65233618]",141.10168492166986,2048
3,"[ 0.98435188  0.73580268  0.35964638 -0.12373556  0.84985172  0.30707609
 -0.20228015  0.42643291 -0.02771058 -0.50283551]",160.51418318709608,3072
4,"[ 0.79556239  0.57393856  0.20545489 -0.3082398   0.66458475  0.15136082
 -0.34834031  0.26007309 -0.19011948 -0.62180684]",127.85738477110468,4096
5,"[ 0.81514366  0.58476249  0.24480777 -0.27700495  0.63599932  0.17844981
 -0.30869997  0.27265843 -0.14353116 -0.56413588]",109.76492408443156,5120
6,"[ 0.82551119  0.60640545  0.26848179 -0.26850133  0.60711661  0.19303085
 -0.26923604  0.27145069 -0.11656292 -0.51070805]",95.83951529303161,6144
7,"[ 0.82407237  0.60564379  0.25878163 -0.26185433  0.55319143  0.19486393
 -0.25037512  0.2544742  -0.08031207 -0.48603509]",82.0540391002063,7168
8,"[ 0.80532451  0.5969212   0.24657825 -0.26950755  0.50074265  0.17033925
 -0.23757543  0.2319387  -0.09001152 -0.43920637]",70.24566277092555,8192
9,"[ 0.79232994  0.61489052  0.28110268 -0.23225634  0.47676389  0.18742663
 -0.202399    0.23159435 -0.05908528 -0.36698598]",59.27372152045663,9216
10,"[ 0.79988802  0.61966173  0.27904044 -0.22017924  0.44861961  0.17932851
 -0.18129246  0.21730286 -0.03289741 -0.30895367]",50.541895355590036,10240
11,"[ 0.77270744  0.59237758  0.26060378 -0.22175585  0.36092657  0.13841963
 -0.1871626   0.16258011 -0.04022675 -0.29468895]",40.64273091178498,11264
12,"[ 0.76876944  0.59174598  0.27128413 -0.19237571  0.32404742  0.1350584
 -0.15975598  0.15523355 -0.01979354 -0.25714785]",34.17844912975448,12288
13,"[ 0.75999901  0.57232356  0.27493521 -0.17602153  0.29801579  0.12112777
 -0.13941694  0.13024647  0.00507103 -0.21133004]",28.3880632373613,13312
14,"[ 0.76821879  0.57229711  0.25785958 -0.13232927  0.27323536  0.12644542
 -0.11212579  0.11806057  0.0253254  -0.16009591]",22.954115171643295,14336
15,"[ 0.7506312   0.54634336  0.24956728 -0.11368943  0.22206653  0.09910271
 -0.11133549  0.07202717  0.00346103 -0.14208742]",18.407710416417345,15360
16,"[ 0.76543431  0.56578707  0.26579431 -0.06087562  0.20816784  0.11012083
 -0.0679738   0.08070926  0.01779386 -0.09324831]",15.077889980745779,16384
17,"[ 0.73298108  0.52687585  0.24009517 -0.06499253  0.13299691  0.05821561
 -0.0707821   0.04199739 -0.00587584 -0.08959331]",11.69562418018764,17408
18,"[ 0.72573642  0.51011288  0.25219244 -0.02623959  0.11227551  0.05791837
 -0.03483399  0.03082942 -0.00410828 -0.05715847]",9.47613085396675,18432
19,"[ 0.712389    0.51289247  0.24389585  0.00591493  0.08629432  0.04353497
 -0.03559549  0.03250406 -0.00110009 -0.04197518]",8.255993545988593,19456
20,"[ 0.7181392   0.51162414  0.25638949  0.03050019  0.05758147  0.03665289
 -0.01488072  0.03022148  0.01734779 -0.0325805 ]",7.375333287053892,20480
21,"[ 0.72277312  0.52008927  0.26104329  0.05515279  0.04686524  0.02858266
 -0.00896194  0.02114548  0.02097944 -0.00996221]",6.92764952389006,21504
22,"[ 0.72989592  0.53864102  0.27642326  0.07444523  0.04129627  0.007552
 -0.00255636  0.01342544  0.02079356 -0.00350345]",6.724024575134136,22528
23,"[ 7.29644021e-01  5.37012929e-01  2.88582867e-01  9.46207643e-02
  3.23787465e-02  1.67410304e-02  6.50369272e-03  2.13528388e-02
  1.17530449e-02 -6.82404406e-04]",6.594411622723373,23552
24,"[ 0.73681325  0.54025707  0.29827461  0.09923834  0.01069702  0.01002461
  0.0132216   0.0115949   0.0045839  -0.00304606]",6.543129683213974,24576
25,"[0.75405483 0.56697195 0.32352293 0.11662188 0.02903343 0.01338535
 0.01613064 0.01058945 0.01506092 0.00920215]",6.440249973372454,25600
26,"[0.76658072 0.59023187 0.35513268 0.13425891 0.03420303 0.0094691
 0.01310403 0.03507177 0.01502568 0.00450899]",6.3814228613667705,26624
27,"[0.778425   0.60973395 0.37375272 0.15479806 0.04355954 0.024473
 0.02920914 0.03130079 0.03030171 0.01271488]",6.383986736112719,27648
28,"[0.77977054 0.60879205 0.38129126 0.15498724 0.03401548 0.01050015
 0.01821529 0.0162635  0.01487138 0.00681741]",6.23596279372121,28672
29,"[0.78766391 0.62850583 0.39607629 0.17383762 0.03934662 0.01590228
 0.01570393 0.02059581 0.01291583 0.00164042]",6.169537548037161,29696
30,"[0.79345549 0.64461527 0.41275864 0.18335906 0.05254665 0.01155996
 0.02534975 0.02503834 0.01522623 0.00091376]",6.153961545086822,30720
31,"[0.80490324 0.65179154 0.42814997 0.17584687 0.04457662 0.01411392
 0.02192018 0.0075131  0.02177613 0.00408981]",6.091120986759155,31744
32,"[8.11905597e-01 6.56461039e-01 4.41132444e-01 2.00338777e-01
 5.90630261e-02 9.80065018e-03 1.71662017e-02 8.69895195e-03
 1.91102717e-02 6.52129376e-04]",6.008509748866585,32768
33,"[0.82618489 0.67343762 0.46312043 0.21131929 0.06763878 0.0133928
 0.01059112 0.01738975 0.02704265 0.0036194 ]",5.973109253562477,33792
34,"[0.82533888 0.68818506 0.47537242 0.23944705 0.05590964 0.0214103
 0.00855739 0.02822379 0.01627535 0.00248906]",5.892624523242881,34816
35,"[0.84600636 0.70693023 0.5061681  0.25170132 0.07642279 0.019925
 0.00382664 0.03156941 0.01952627 0.00548194]",5.8070015514140385,35840
36,"[0.85005284 0.71576245 0.51858953 0.27415321 0.06778332 0.01434357
 0.01618678 0.01055511 0.01597522 0.01720804]",5.733931569073271,36864
37,"[0.84327096 0.71358774 0.52248885 0.29093091 0.0891031  0.0129504
 0.00937586 0.01839004 0.01319242 0.01080428]",5.684803394463946,37888
38,"[0.85368508 0.73502943 0.54479648 0.29482997 0.09339673 0.01932863
 0.0322759  0.02160674 0.0243015  0.01229776]",5.661836051651447,38912
