#Gen,Best Ind,Fitness,#Evals
0,"[-10.09891898 -10.19544252 -10.42848481 -10.57672363 -10.97441952
 -10.66855372 -10.63717504 -10.16015229 -10.05077457 -10.32674392]",6710876774.223501,0
1,"[ -9.80385597  -9.20449897  -9.02291988 -10.00234742 -10.01665657
  -8.7016575   -8.99264131  -7.38812181  -8.3538744   -7.55845179]",3060436607.558011,1024
2,"[-1.22455545 -0.63232516 -0.45702625 -1.41005192 -1.44943604 -0.12973793
 -0.41975543  1.18814887  0.21149779  1.00914831]",9.205327016872566,2048
3,"[-1.36887256 -0.77723944 -0.59325851 -1.53773916 -1.59763471 -0.26420846
 -0.56986141  1.03999384  0.08944352  0.88036155]",131.27302214865057,3072
4,"[-1.22668887 -0.65495729 -0.47316663 -1.4067104  -1.47838159 -0.13502859
 -0.43318337  1.13785554  0.21273752  1.00052992]",8.87964693317606,4096
5,"[-1.21401565 -0.64737227 -0.45859203 -1.38243273 -1.46772357 -0.12748859
 -0.43227976  1.1060726   0.22521365  0.99765294]",8.665432665163175,5120
6,"[-1.17741219 -0.64862914 -0.43895672 -1.36842653 -1.43816497 -0.12611625
 -0.42527718  1.08511696  0.22332342  0.97038631]",8.31699626960416,6144
7,"[-1.15155449 -0.63288712 -0.41797937 -1.34605213 -1.40909131 -0.11498742
 -0.42456618  1.05818976  0.22076424  0.95748171]",7.9952588322701255,7168
8,"[-1.1186901  -0.61704404 -0.41046235 -1.32026142 -1.37286265 -0.12432306
 -0.42165802  1.03172972  0.22345127  0.93616218]",7.622624541590565,8192
9,"[-1.06634351 -0.60014204 -0.39999957 -1.2928654  -1.34475716 -0.12667232
 -0.39041625  1.01852374  0.2146057   0.91862417]",7.276946057540565,9216
10,"[-1.03349581 -0.60326299 -0.39534926 -1.26973192 -1.3236106  -0.14899872
 -0.39049415  1.00978452  0.20288376  0.8934737 ]",6.988273536560225,10240
11,"[-1.01085546 -0.5966531  -0.39281917 -1.2462936  -1.29364937 -0.12607861
 -0.38618792  0.99016803  0.21342249  0.87013188]",6.722621472510448,11264
12,"[-0.98297762 -0.59301838 -0.3772159  -1.20924509 -1.25413992 -0.12847944
 -0.3897809   0.96453866  0.20215133  0.85356861]",6.370305752589435,12288
13,"[-0.96464232 -0.57755202 -0.35732111 -1.17449157 -1.23636984 -0.12919238
 -0.36983455  0.94119283  0.20098062  0.83369638]",6.089159430179627,13312
14,"[-0.92529418 -0.56015728 -0.34557874 -1.13960417 -1.21123856 -0.13336879
 -0.36733225  0.92851581  0.16877494  0.80786831]",5.751620903757925,14336
