#Gen,Best Ind,Fitness,#Evals
0,"[ -9.09979641   2.25560313 -12.75037893  -1.22667547 -15.06373847
  -9.02012227  18.29902632  -0.55989434  15.95799597  -2.6124211 ]",19.193267136906424,0
1,"[  7.40573941   4.29017306   5.8136867   -1.40528467   2.77243323
  -7.8600023   -2.67197664   5.93779209   9.74244097 -18.18453147]",17.706211712256053,512
2,"[  7.40573941   4.29017306   5.8136867   -1.40528467   2.77243323
  -7.8600023   -2.67197664   5.93779209   9.74244097 -18.18453147]",17.706211712256053,1025
3,"[  7.40573941   4.29017306   5.8136867   -1.40528467   2.77243323
  -7.8600023   -2.67197664   5.93779209   9.74244097 -18.18453147]",17.706211712256053,1538
4,"[  7.40573941   4.29017306   5.8136867   -1.40528467   2.77243323
  -7.8600023   -2.67197664   5.93779209   9.74244097 -18.18453147]",17.706211712256053,2051
5,"[  7.40573941   4.29017306   5.8136867   -1.40528467   2.77243323
  -7.8600023   -2.67197664   5.93779209   9.74244097 -18.18453147]",17.706211712256053,2564
6,"[  7.40573941   4.29017306   5.8136867   -1.40528467   2.77243323
  -7.8600023   -2.67197664   5.93779209   9.74244097 -18.18453147]",17.706211712256053,3077
7,"[  7.40573941   4.29017306   5.8136867   -1.40528467   2.77243323
  -7.8600023   -2.67197664   5.93779209   9.74244097 -18.18453147]",17.706211712256053,3590
8,"[  7.40573941   4.29017306   5.8136867   -1.40528467   2.77243323
  -7.8600023   -2.67197664   5.93779209   9.74244097 -18.18453147]",17.706211712256053,4103
9,"[  8.90652991   4.79365501 -13.21318984 -11.9706777   -7.11065082
   7.17290382   6.05900505  -6.14596296  -1.62644092  -3.73100005]",17.00898351766787,4616
10,"[  8.90652991   4.79365501 -13.21318984 -11.9706777   -7.11065082
   7.17290382   6.05900505  -6.14596296  -1.62644092  -3.73100005]",17.00898351766787,5129
11,"[  1.51458867   6.33665363   1.62945368   0.03771984   1.020669
   0.93541378  -6.95257775 -15.86805922   5.76597028   5.84579081]",15.853358577517435,5642
12,"[-4.28895703  2.08949842 -5.80566006  1.56576955  5.50781381  2.50409791
 -4.8750483  -1.25557213 -2.16169545 11.55298702]",14.64847579148653,6155
13,"[-4.28895703  2.08949842 -5.80566006  1.56576955  5.50781381  2.50409791
 -4.8750483  -1.25557213 -2.16169545 11.55298702]",14.64847579148653,6668
14,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,7181
15,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,7694
16,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,8207
17,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,8720
18,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,9233
19,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,9746
20,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,10259
21,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,10772
22,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,11285
23,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,11798
24,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,12311
25,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,12824
26,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,13337
27,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,13850
28,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,14363
29,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,14876
30,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,15389
31,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,15902
32,"[ 0.22617915  7.0426091  -4.08891835  5.84774719  0.80808088 -2.68921494
 -3.74813636 -8.52425297 -4.28186035 -1.38707997]",13.755468161612194,16415
33,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,16928
34,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,17441
35,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,17954
36,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,18467
37,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,18980
38,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,19493
39,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,20006
40,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,20519
41,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,21032
42,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,21545
43,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,22058
44,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,22571
45,"[ 2.05557471  2.60085456 -3.67953779  0.26147146 -1.55434322 -2.39186525
  2.5943065   1.97776831 -4.98660814 -8.34291056]",12.337980973096277,23084
