,mean_MRPS,std_MRPS,mean_Eval,std_Eval
0,40.8,12.43,259.11,78.18
1,80.8,5.34,803.7900000000001,53.87
2,199.2,17.75,3178.4,245.95
3,800.0,68.82,19059.269999999997,1585.99
4,3302.4,165.54,122526.02000000002,6386.42
