,mean_MRPS,std_MRPS,mean_Eval,std_Eval
0,131.2,35.27,951.89,275.82
1,272.0,42.63,3029.6099999999997,505.81
2,761.6,67.81,13246.680000000002,1291.31
3,3020.8,276.91,79499.43999999999,7840.31
