#Gen,Best Ind,Fitness,#Evals
0,"[ 3.08888596  4.69004493 -4.74855833 -0.5612915  -0.81699603 -0.20134408
  3.74399289  1.42788691  0.56615208 -3.19924475]",82.47852616035374,0
1,"[ 3.08888596  4.69004493 -4.74855833 -0.5612915  -0.81699603 -0.20134408
  3.74399289  1.42788691  0.56615208 -3.19924475]",82.47852616035374,512
2,"[ 3.08888596  4.69004493 -4.74855833 -0.5612915  -0.81699603 -0.20134408
  3.74399289  1.42788691  0.56615208 -3.19924475]",82.47852616035374,1025
3,"[ 3.08888596  4.69004493 -4.74855833 -0.5612915  -0.81699603 -0.20134408
  3.74399289  1.42788691  0.56615208 -3.19924475]",82.47852616035374,1538
4,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,2051
5,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,2564
6,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,3077
7,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,3590
8,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,4103
9,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,4616
10,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,5129
11,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,5642
12,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,6155
13,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,6668
14,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,7181
15,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,7694
16,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,8207
17,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,8720
18,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,9233
19,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,9746
20,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,10259
21,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,10772
22,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,11285
23,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,11798
24,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,12311
25,"[ 2.21462214 -3.67708976  2.80412109 -1.85263312  1.64647364 -3.97617974
  2.14050154 -1.31977239 -2.53578051  4.05846029]",81.10037086085791,12824
26,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,13337
27,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,13850
28,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,14363
29,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,14876
30,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,15389
31,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,15902
32,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,16415
33,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,16928
34,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,17441
35,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,17954
36,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,18467
37,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,18980
38,"[-1.39258014 -0.1786736   0.78885732  1.1150541   1.24121045 -0.97598382
  2.48273163 -1.48018588 -4.85385322  3.38996114]",50.205477738658885,19493
