MRPS,Evaluations
208,1589.40
144,987.40
104,778
160,1045
144,1055.90
136,1069.60
104,788.50
136,1014.80
96,641.80
80,548.50
176,1983.40
240,2796.60
256,2700.20
272,3167.80
256,2844.80
288,2867.50
224,2467.20
416,4796.50
320,3613.50
272,3058.60
704,12479.50
704,13396
640,10617.80
704,12691
768,12620.50
1088,19167.40
832,15661.40
640,10387
640,10617.80
896,14828.40
2048,53981.10
2560,63619
2560,61314
4352,117532
3328,87220.80
3328,90216.90
2048,52636.40
4352,115790.80
2816,77750.20
2816,74933.20
