#Gen,Best Ind,Fitness,#Evals
0,"[0.16592503 0.97283225 2.19489994 1.1275105  3.0751458  1.82664256
 0.78050673 0.74846878 1.96030576 1.24737407]",-4.0482226966617105,0
1,"[0.16592503 0.97283225 2.19489994 1.1275105  3.0751458  1.82664256
 0.78050673 0.74846878 1.96030576 1.24737407]",-4.0482226966617105,1024
2,"[0.16592503 0.97283225 2.19489994 1.1275105  3.0751458  1.82664256
 0.78050673 0.74846878 1.96030576 1.24737407]",-4.0482226966617105,2049
3,"[3.14159265 0.97283225 2.19489994 1.1275105  1.69768227 3.14159265
 1.45297998 0.74846878 1.18883329 1.24737407]",-4.527717292747592,3074
4,"[3.14159265 0.97283225 2.19489994 1.1275105  1.69768227 3.14159265
 1.45297998 0.74846878 1.18883329 1.24737407]",-4.527717292747592,4099
5,"[3.14159265 0.97283225 2.19489994 1.1275105  1.69768227 3.14159265
 1.45297998 0.74846878 1.18883329 1.24737407]",-4.527717292747592,5124
6,"[3.14159265 0.97283225 2.19489994 1.1275105  1.69768227 3.14159265
 1.45297998 0.74846878 1.18883329 1.24737407]",-4.527717292747592,6149
7,"[3.14159265 0.97283225 2.19489994 1.1275105  1.69768227 3.14159265
 1.45297998 0.74846878 1.18883329 1.24737407]",-4.527717292747592,7174
8,"[2.31747371 1.54389936 1.32475575 3.10494973 1.03469769 2.39087108
 0.85421528 0.         0.         0.        ]",-4.53775005162594,8199
9,"[2.31747371 1.54389936 1.32475575 3.10494973 1.03469769 2.39087108
 0.85421528 0.         0.         0.        ]",-4.53775005162594,9224
10,"[2.31747371 1.54389936 1.32475575 3.10494973 1.03469769 2.39087108
 0.85421528 0.         0.         0.        ]",-4.53775005162594,10249
11,"[2.31747371 1.54389936 1.32475575 3.10494973 1.03469769 2.39087108
 0.85421528 0.         0.         0.        ]",-4.53775005162594,11274
12,"[2.31747371 1.54389936 1.32475575 3.10494973 1.03469769 2.39087108
 0.85421528 0.         0.         0.        ]",-4.53775005162594,12299
13,"[3.14159265 1.63740836 2.24177714 1.11265036 0.91526503 0.91087416
 3.14159265 1.82913683 1.95621057 1.68452412]",-4.613466567032141,13324
14,"[2.06546654 1.47760414 1.35043642 1.13672885 3.14159265 1.45925644
 1.49474221 2.60683122 2.4778305  1.59348737]",-4.687659651346386,14349
15,"[2.06546654 1.47760414 1.35043642 1.13672885 3.14159265 1.45925644
 1.49474221 2.60683122 2.4778305  1.59348737]",-4.687659651346386,15374
16,"[3.14159265 1.59377136 3.14159265 1.14628732 1.03330982 0.85944038
 1.45689012 1.18408169 0.84767413 2.10493856]",-5.017163659523511,16399
17,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,17424
18,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,18449
19,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,19474
20,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,20499
21,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,21524
22,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,22549
23,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,23574
24,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,24599
25,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,25624
26,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,26649
27,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,27674
28,"[2.16919611 1.59442548 0.09681676 1.0438179  1.74284346 2.04069853
 0.83680861 0.16054296 0.70356073 0.45739014]",-5.286331625141543,28699
29,"[2.09957605 1.43816424 1.30259031 0.93647027 0.         2.00546279
 2.23003913 1.34662765 2.08181888 1.55834879]",-5.358541966134484,29724
30,"[2.09957605 1.43816424 1.30259031 0.93647027 0.         2.00546279
 2.23003913 1.34662765 2.08181888 1.55834879]",-5.358541966134484,30749
